Date,Type,DoW,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01,01 ~ 02
2016.2.12,on,Fri,355,619,1799,2817,2253,2076,2927,3867,5266,4794,5680,6735,8440,14664,11346,8059,9681,10667,6338,1616,0
2016.2.12,off,Fri,264,1962,7326,14511,13710,6486,5410,5139,6012,5613,5041,5050,6100,9922,11532,4285,2783,2419,1565,660,3
2016.2.13,on,Sat,709,707,627,932,1437,1743,2403,3780,5424,5652,6188,8014,8100,7129,5414,4862,6065,6714,3839,47,0
2016.2.13,off,Sat,148,718,1425,3883,7295,6235,5461,6718,7680,7041,5902,5606,6806,6580,4480,2677,2575,1910,1390,188,0
2016.2.14,on,Sun,569,595,470,705,994,993,1299,1850,2593,3023,3306,3648,4312,4220,3608,3998,5009,4321,1890,0,0
2016.2.14,off,Sun,88,454,586,1351,3110,2465,2749,3815,4847,3952,3758,3882,3961,3525,2692,1970,1651,1098,685,1,0
2016.2.15,on,Mon,291,743,1898,3187,2481,2160,2901,3856,5116,4768,5413,6575,8159,14410,11494,8438,10462,9930,3851,772,0
2016.2.15,off,Mon,310,2348,8136,16323,14960,5942,5309,4695,6095,5184,4658,4507,5635,8123,7217,2978,2046,1645,1017,341,1
2016.2.16,on,Tue,335,662,1968,3207,2525,2186,2942,3885,5395,4966,5597,6510,8066,14126,10994,8522,10673,10496,4196,817,0
2016.2.16,off,Tue,255,2233,8142,16050,13990,6459,5265,4837,6381,5424,4937,4594,5790,8592,7914,3026,2170,1732,1028,355,0
2016.2.17,on,Wed,301,683,1997,3208,2478,2192,3055,3749,5228,4871,5545,6784,8713,14946,10969,8480,10942,11283,4959,1037,0
2016.2.17,off,Wed,272,2282,8354,15223,14288,6519,5323,5105,6435,5248,4618,5053,6019,9674,8732,3304,2307,2011,1076,419,0
2016.2.18,on,Thu,379,676,1920,3225,2541,2285,3133,3943,5324,4956,5475,6713,8050,14020,10993,8328,10861,11452,5147,1122,0
2016.2.18,off,Thu,259,2204,7814,15874,13766,6630,5280,5117,6453,5193,4883,4921,5774,9659,8407,3376,2422,2050,1233,433,0
2016.2.19,on,Fri,341,701,1901,3035,2511,2153,3090,4002,5163,5026,5625,6646,8868,14740,11853,8359,9814,11571,7295,1844,0
2016.2.19,off,Fri,271,2134,8004,15254,13447,6548,5416,5073,5855,5784,4870,5026,6396,10752,12476,4771,3153,2372,1894,827,0
2016.2.20,on,Sat,804,786,670,1142,1453,1745,2687,4022,5503,5575,6222,7705,8251,7488,5436,5078,6749,7834,4284,27,0
2016.2.20,off,Sat,149,885,1520,3823,7126,5551,5360,6274,7771,7913,5935,6292,7162,7817,5034,3638,2621,2374,1702,114,0
2016.2.21,on,Sun,622,656,508,835,1055,1084,1585,2350,2879,3148,3348,4094,4412,4337,3568,3894,4775,4568,1871,0,0
2016.2.21,off,Sun,108,436,616,1507,3520,2497,3125,4326,4521,4266,3659,4055,4177,3699,2813,1935,1575,1261,697,5,0
2016.2.22,on,Mon,261,688,1868,3029,2550,2156,2955,3785,4997,4622,5367,6380,7912,14023,11067,8246,10190,9710,3952,726,0
2016.2.22,off,Mon,309,2425,8549,15683,13601,6283,5220,4828,5983,5158,4603,4522,5435,8560,6726,2933,2080,1571,945,325,0
2016.2.23,on,Tue,291,646,1966,3134,2350,2112,3049,3952,5150,4570,5560,6415,8311,13751,10891,8347,11224,10489,4451,761,0
2016.2.23,off,Tue,275,2218,8113,15366,13693,6543,5149,5096,5936,5354,4584,4562,5663,9098,7694,3170,2110,1805,1090,386,0
2016.2.24,on,Wed,321,653,1833,3261,2533,2047,2953,3961,5028,4663,5529,6391,8499,14034,10679,8119,11164,10907,4904,1055,0
2016.2.24,off,Wed,276,2209,7809,15493,13611,6295,5134,4679,6273,4921,4679,4778,5638,9902,7917,3195,2259,1981,1166,412,7
