Seq,Chest,Height,Waist,Head,Foot,Weight
30329,101.100,177.800,85.100,59.600,28.800,74.900
30330,102.400,178.700,97.300,59.100,27.700,85.000
30331,96.900,178.300,84.100,56.400,26.300,72.400
30332,93.500,179.300,78.500,58.600,26.100,64.500
30333,89.000,174.300,82.500,56.900,27.700,66.700
30334,86.200,169.200,86.500,61.200,25.800,65.000
30335,86.400,174.900,80.900,58.900,26.800,62.400
30336,96.600,175.600,89.400,61.400,27.500,76.300
30337,93.600,174.200,79.700,57.700,27.000,67.200
30338,105.600,180.800,97.200,60.200,27.700,85.800
30339,89.200,181.800,82.200,58.500,27.500,72.400
30340,94.100,173.900,80.300,57.900,26.200,71.400
30341,88.200,166.700,73.700,58.100,26.100,60.700
30342,100.300,171.600,96.300,56.500,26.700,77.600
30343,79.700,166.300,73.600,56.400,25.300,54.500
30344,87.800,182.100,83.700,55.400,27.900,60.700
30345,100.700,173.300,93.800,59.700,27.100,80.200
30346,94.300,172.600,80.700,57.400,26.200,69.400
30347,104.300,176.700,91.500,59.100,27.000,82.800
30348,105.500,177.000,95.100,62.000,27.600,77.100
30349,87.500,174.900,77.800,57.600,27.600,61.100
30350,111.100,174.200,103.100,58.500,26.400,93.000
30351,89.300,172.100,85.600,57.300,27.700,61.100
30352,94.600,178.700,84.600,55.700,28.700,67.400
30353,100.300,181.000,91.900,60.700,28.000,76.100
30354,98.900,174.800,80.400,57.800,25.800,75.900
30355,92.000,172.100,86.300,60.500,25.300,63.500
30356,91.300,168.700,83.700,54.400,25.700,61.200
30357,87.800,174.800,84.100,58.100,26.200,67.900
30358,102.000,171.000,86.400,60.200,25.700,70.000
30359,96.400,179.800,84.100,57.000,27.400,70.700
30360,94.100,173.500,78.200,54.900,25.600,64.800
30361,90.400,169.500,82.600,56.500,26.600,59.700
30362,96.000,167.800,83.100,58.100,26.600,58.900
30363,85.900,166.900,72.900,54.900,24.900,53.900
30364,93.700,173.100,89.200,59.200,25.700,69.000
30365,87.400,175.900,79.600,58.500,27.700,59.600
